"number","u_om_type","u_begin_time","u_cleared","calendar_duration","u_end_time","priority","u_notification_source","u_resolution_group","u_resolution_source","u_res_code","u_preventable_type","u_affected_nodes","u_public_or_private","u_search_markets","u_affected_area","short_description","u_affected_services","u_of_total_modems_on_node","u_of_modems_on_line","u_vendor"
"NOC0285132","Outage Node","2020-11-28 09:22:58","2020-11-28 09:53:46","1848","2020-11-28 12:13:16","3 - Moderate","Alarms","PM","Commercial Power-Node","Power Restored","Non Preventable","OH-COLM-GAH-EQ50","Public","Columbus, Oh","","OH-COLM-GAH-EQ50","Business, Voice, Video, HSD","81","0",""
"NOC0285136","Outage Node","2020-11-28 09:56:58","2020-11-28 10:57:19","3621","2020-11-28 11:14:10","3 - Moderate","Call Center","PM","Balanced Active","Resolved","Non Preventable","IL-NAPE-GLE-GE28","Public","Illinois","","IL-NAPE-GLE-GE28","Business, Voice, Video, HSD","114","98",""
"NOC0285143","Outage Node","2020-11-28 10:40:50","2020-11-28 11:29:07","2897","2020-11-28 12:50:45","3 - Moderate","Alarms","PM","Amp","Hardware Replaced","Non Preventable","OH-CLEV-NRO-NT34","Public","Cleveland","","OH-CLEV-NRO-NT34","Business, Voice, Video, HSD","63","45",""
"NOC0285158","Outage Node","2020-11-28 13:20:59","2020-11-28 14:21:39","3640","2020-11-28 21:24:58","3 - Moderate","Alarms","PM","Commercial Power-Node","Resolved","Non Preventable","OH-COLM-IND-CJ02","Public","Columbus, Oh","","OH-COLM-IND-CJ02","Business, Voice, Video, HSD","150","0",""
"NOC0285162","Outage Node","2020-11-28 13:37:06","2020-11-28 13:46:59","594","2020-11-28 13:46:59","3 - Moderate","Alarms","PM","Mainline Connector","Replace","Non Preventable","OH-COLM-PAR-CZ37","Public","Columbus, Oh","","OH-COLM-PAR-CZ37","Business, Voice, Video, HSD","88","0",""
"NOC0285167","Outage Node","2020-11-28 13:59:59","2020-11-28 18:03:46","14627","2020-11-28 18:03:46","3 - Moderate","Alarms","PM","Chargeable 3rd Party","Chargeable 3rd Party","Non Preventable","MI-MIDM-DIM-WIL03","Public","Mid Michigan","","MI-MIDM-DIM-WIL03","Business, Voice, Video, HSD","95","63",""
"NOC0285165","Outage Other","2020-11-28 13:54:29","2020-11-28 14:45:58","3089","2020-11-28 14:45:58","3 - Moderate","Call Center","App Dev","Server - Other","Resolved","Non Preventable","","Public","Charleston, Maryland, Auburn, Panama City, Pinellas, Cleveland, Montgomery, Valley, Huntsville, Illinois, Columbus, Oh, Augusta, Michigan, Dothan, Mid Michigan, Columbus, GA, Newnan, Evansville, Knoxville","","Agents are unable to get to GooRoo","Internal Services - Other","","",""
"NOC0285172","Outage Node","2020-11-28 14:36:09","2020-11-28 16:23:46","6458","2020-11-28 16:23:46","3 - Moderate","Call Center","PM","Commercial Power-Node","Power Restored","Non Preventable","IL-NAPE-PRO-CP12","Public","Illinois","","IL-NAPE-PRO-CP12","Business, Voice, Video, HSD","42","28",""
"NOC0285182","Outage Node","2020-11-28 19:38:32","2020-11-28 20:35:28","3417","2020-11-28 20:35:28","3 - Moderate","Alarms","PM","Cleared Before/At Arrival","Cleared Before/At Arrival","Non Preventable","OH-CLEV-SEV-VV08","Public","Cleveland","","OH-CLEV-SEV-VV08","Business, Voice, Video, HSD","39","0",""
"NOC0285184","Outage Node","2020-11-28 19:54:31","2020-11-28 20:45:51","3081","2020-11-28 22:44:39","3 - Moderate","Alarms","PM","Cleared Before/At Arrival","Cleared Before/At Arrival","Non Preventable","AL-HUNT-HUH-HH050","Public","Huntsville","","AL-HUNT-HUH-HH050","Business, Voice, Video, HSD","54","29",""
